,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
887,0,2437,-73,4.166666666666666,0,43.71640802903416,1552136879,1578200,197589831,807772,35.32
890,2,5180,-93,0.0,0,205.66966480068777,1552137110,1578201,197589831,807772,39.21
899,1,2422,-89,1.3888888888888888,0,277.54017717240544,1552137328,1578202,197589831,807772,36.71
906,0,2427,-75,4.166666666666666,0,55.26246128575902,1552186256,1578305,197611119,807869,34.5
920,0,2462,-75,4.166666666666666,0,54.47684546731806,1552235482,1578408,197634343,807955,34.52
924,0,2412,-88,1.3888888888888888,0,248.3834737194667,1552235792,1578409,197635190,807956,35.35
926,2,5180,-94,0.0,0,230.76515939647047,1552235792,1578409,197635190,807956,39.58
928,1,2437,-85,1.3888888888888888,0,174.03815507200977,1552235792,1578409,197635190,807956,35.69
936,0,2427,-73,4.166666666666666,0,43.8965333196359,1552288144,1578534,197662870,808066,35.32
939,1,2422,-80,2.7777777777777777,0,98.47497091102814,1552288144,1578534,197662870,808066,35.01
944,0,2437,-71,5.555555555555555,0,34.725177218189124,1552288144,1578534,197662870,808066,35.36
948,1,2422,-61,6.944444444444445,0,11.049073464902262,1552327829,1578628,197683685,808142,41.77
959,0,2412,-70,5.555555555555555,0,31.26962669351452,1552327933,1578630,197684977,808145,35.86
962,2,5785,-90,13.88888888888889,0,130.37569504711675,1552380144,1578768,197708468,808276,29.79
963,0,2427,-70,5.555555555555555,0,31.07636571271409,1552380144,1578768,197709063,808277,35.87
964,1,2472,-82,2.7777777777777777,0,121.46510602189578,1552380144,1578768,197709063,808277,34.76
985,2,5180,-92,0.0,0,183.303281699266,1557606296,1582785,197894807,810143,38.92
989,0,2437,-63,6.944444444444445,0,13.824342049302032,1557606296,1582785,197894807,810143,39.32
992,2,5745,-93,0.0,0,185.4427961127176,1557606296,1582785,197895039,810145,39.38
1008,0,2437,-90,1.3888888888888888,0,309.4884677257161,1557648767,1582873,197919248,810200,36.16
1016,1,2422,-75,4.166666666666666,0,55.37654564018864,1557691226,1582965,197946152,810251,35.5
1019,0,2462,-71,5.555555555555555,0,34.372565751716856,1557691226,1582965,197946152,810251,35.38
1020,0,2427,-72,5.555555555555555,0,39.12282650194471,1557691278,1582966,197946152,810251,34.87
1028,2,5220,-90,13.88888888888889,0,144.48724058382598,1557693132,1582969,197947396,810254,29.51
1031,0,2437,-63,6.944444444444445,0,13.824342049302032,1557693132,1582969,197947396,810254,39.32
1052,0,2462,-74,4.166666666666666,0,48.552539629314296,1558518770,1584430,198328784,811328,34.92
1062,0,2437,-64,6.944444444444445,0,15.511166897899503,1558518770,1584430,198328784,811328,38.63
1074,2,5745,-80,27.77777777777778,0,41.51547076527597,1558695427,1584622,198357737,811474,21.95
1090,0,2462,-74,4.166666666666666,0,48.552539629314296,1558771818,1584766,198397002,811555,34.92
1096,2,5745,-80,27.77777777777778,0,41.51547076527597,1558771922,1584768,198397002,811555,21.95
1099,0,2437,-68,5.555555555555555,0,24.58354282360909,1558771922,1584768,198397002,811555,36.99
1117,1,2412,-88,1.3888888888888888,0,248.3834737194667,1558834702,1584914,198431456,811660,36.35
1123,2,5180,-90,13.88888888888889,0,145.60297217134564,1558835669,1584916,198432106,811662,29.5
1132,0,2462,-77,4.166666666666666,0,68.58228511319061,1558881296,1585014,198460251,811724,33.85
1135,2,5785,-93,0.0,0,184.16056416033925,1558881296,1585014,198460251,811724,39.39
1137,2,5180,-91,0.0,0,163.36922177746496,1558881296,1585014,198460251,811724,38.69
1140,1,2422,-63,6.944444444444445,0,13.909959361746088,1559460732,1586184,198683271,812806,40.31
1151,0,2447,-50,9.722222222222223,3,3.082237007959015,70618,132,49101,149,41.63
1154,0,2462,-77,4.166666666666666,0,68.58228511319061,1564508765,1593431,199890912,818567,33.86
1188,2,5180,-63,69.44444444444444,0,6.503845863735338,1987410647,2082300,303199508,1211699,3.66
1190,0,2472,-64,6.944444444444445,0,15.291550861723737,1987410647,2082300,303200077,1211700,39.03
1191,0,2472,-65,6.944444444444445,0,17.157402261751123,1987410647,2082300,303200077,1211700,38.35
