,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
977,0,2462,-71,5.555555555555555,0,34.372565751716856,1557599922,1582775,197893253,810133,35.38
979,2,5785,-87,13.88888888888889,0,92.29892369475822,1557599922,1582775,197893253,810133,29.72
983,0,2437,-77,4.166666666666666,0,69.28583748406861,1557600042,1582777,197894495,810143,33.84
989,0,2437,-63,6.944444444444445,0,13.824342049302032,1557606296,1582785,197894807,810143,39.32
995,1,2422,-75,4.166666666666666,0,55.37654564018864,1557648715,1582872,197919248,810200,35.5
997,1,2462,-91,0.0,0,343.72565751716854,1557648715,1582872,197919248,810200,38.58
1001,0,2437,-74,4.166666666666666,0,49.05061656437086,1557648715,1582872,197919248,810200,34.9
1002,2,5745,-85,13.88888888888889,0,73.82610685996309,1557648715,1582872,197919248,810200,29.88
1009,1,2422,-94,0.0,0,493.5439825242432,1557648767,1582873,197919248,810200,41.08
1010,0,2437,-63,6.944444444444445,0,13.824342049302032,1557648767,1582873,197919248,810200,39.32
1015,2,5180,-94,0.0,0,230.76515939647047,1557691226,1582965,197945570,810250,39.59
1031,0,2437,-63,6.944444444444445,0,13.824342049302032,1557693132,1582969,197947396,810254,39.32
1035,2,5180,-94,0.0,0,230.76515939647047,1557693184,1582970,197947396,810254,39.59
1047,2,5220,-86,13.88888888888889,0,91.1652856300416,1558450785,1584268,198295586,811176,29.41
1048,0,2437,-64,6.944444444444445,0,15.511166897899503,1558450785,1584268,198295586,811176,38.63
1054,2,5745,-83,27.77777777777778,0,58.64216113864066,1558518770,1584430,198328784,811328,21.19
1057,0,2412,-74,4.166666666666666,0,49.55901847735148,1558518770,1584430,198328784,811328,34.89
1060,2,5180,-90,13.88888888888889,0,145.60297217134564,1558518770,1584430,198328784,811328,29.5
1062,0,2437,-64,6.944444444444445,0,15.511166897899503,1558518770,1584430,198328784,811328,38.63
1064,1,2452,-91,0.0,0,345.1274750437474,1558695427,1584622,198355687,811471,38.6
1068,0,2462,-74,4.166666666666666,0,48.552539629314296,1558695427,1584622,198356864,811473,34.92
1077,0,2437,-68,5.555555555555555,0,24.58354282360909,1558695531,1584624,198357737,811474,36.99
1082,2,5745,-89,13.88888888888889,0,117.00649418826224,1558695603,1584625,198357737,811474,29.7
