ChannelBandwidth,Freq,Level,RSSI,SSID,Secured,_id,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets
0,2412,2,-80,BMS_Students,2,646f18d5544d7a9fd1966e39,2.7777777777777777,0,98.8832419347058,197132695,305147,44715672,198220
0,2412,2,-81,visitor,2,646f18d5544d7a9fd1966e3a,2.7777777777777777,0,110.9488222719457,197132695,305147,44715672,198220
0,2412,2,-82,DIRECT-72-HP Laser 178nw,2,646f18d6544d7a9fd1966e3b,2.7777777777777777,0,124.48662607219173,197132695,305147,44715672,198220
1,2457,2,-83,TP-Link_VGST,2,646f18d6544d7a9fd1966e3c,2.7777777777777777,0,137.11811792490465,197132695,305147,44715672,198220
0,2457,2,-83,Lab01,2,646f18d7544d7a9fd1966e3d,2.7777777777777777,0,137.11811792490465,197132695,305147,44715672,198220
0,2412,2,-85,BMSCE,2,646f18d7544d7a9fd1966e3e,1.3888888888888888,0,175.8420331303846,197132695,305147,44715672,198220
0,2437,2,-81,DIRECT-OLSHARATHRAVIKmsZK,2,646f18d7544d7a9fd1966e3f,2.7777777777777777,0,109.81065216246742,197132695,305147,44715672,198220
0,2462,2,-82,Sara,2,646f18d8544d7a9fd1966e40,2.7777777777777777,0,121.95846551020573,197132695,305147,44715672,198220
0,2462,2,-84,OnePlus Nord CE 2,2,646f18d8544d7a9fd1966e41,2.7777777777777777,0,153.53661141422052,197132695,305147,44715672,198220
0,2437,3,-75,bin,2,646f18d9544d7a9fd1966e42,4.166666666666666,0,55.035696980113684,197132695,305147,44715672,198220
0,2462,2,-82,soldier,2,646f18da544d7a9fd1966e43,2.7777777777777777,0,121.95846551020573,197132695,305147,44715672,198220
1,2427,2,-85,,2,646f8983942c10e24aa1a75e,1.3888888888888888,0,174.75524676987558,229721722,339062,50583363,227103
0,2462,5,-60,TP-LINK_5D62,2,646f8985942c10e24aa1a75f,6.944444444444445,0,9.687505261840391,229721722,339062,50583363,227103
2,5180,2,-79,TP-LINK_5D62_5G,2,646f8986942c10e24aa1a760,27.77777777777778,0,41.03649315090938,229721722,339062,50583363,227103
0,2447,2,-83,Venuwifi_2.4G,2,646f8986942c10e24aa1a761,2.7777777777777777,0,137.6784698575769,229721722,339062,50583363,227103
2,5745,1,-87,Appy50,2,646f8987942c10e24aa1a762,13.88888888888889,0,92.94156197983924,229721722,339062,50583363,227103
2,5180,2,-82,Aishchat_5G,2,646f8987942c10e24aa1a763,27.77777777777778,0,57.965587275314,229721722,339062,50583363,227103
1,2472,1,-86,Sapthagiri,2,646f8987942c10e24aa1a764,1.3888888888888888,0,192.50921965567008,229721722,339062,50583363,227103
0,2427,2,-81,ACT-E-916,2,646f8988942c10e24aa1a765,2.7777777777777777,0,110.26310643590163,229721722,339062,50583363,227103
0,2462,2,-80,airteL_x,2,646f8988942c10e24aa1a766,2.7777777777777777,0,96.87505261840391,229721722,339062,50583363,227103
1,2432,2,-78,SKS Cottage,2,646f8989942c10e24aa1a767,4.166666666666666,0,77.8998155574257,229721722,339062,50583363,227103
0,2422,6,-52,SKS Cottage,2,646f8989942c10e24aa1a768,8.333333333333332,0,3.920359203972737,229721722,339062,50583363,227103
0,2457,2,-81,,2,646f898a942c10e24aa1a769,2.7777777777777777,0,108.91679256000535,229721722,339062,50583363,227103
0,2432,5,-61,SKS Cottage,2,646f898a942c10e24aa1a76a,6.944444444444445,0,11.003641419405156,229721722,339062,50583363,227103
2,5200,4,-69,SKS Cottage 5G,2,646f898a942c10e24aa1a76b,55.55555555555556,1,12.926967482914755,229721722,339062,50583363,227103
1,2472,2,-82,Orange_Jas,2,646f898b942c10e24aa1a76c,2.7777777777777777,0,121.46510602189578,229721722,339062,50583363,227103
2,5220,5,-58,SKS Cottage 5G,2,646f898b942c10e24aa1a76d,83.33333333333334,1,3.629355391487726,229721722,339062,50583363,227103
0,2462,2,-85,rahameer_5g,2,646f898b942c10e24aa1a76e,1.3888888888888888,0,172.270911417745,229721722,339062,50583363,227103
0,2452,2,-79,,2,646f898c942c10e24aa1a76f,2.7777777777777777,0,86.69210217035506,229721722,339062,50583363,227103
2,5180,2,-82,,2,646f898c942c10e24aa1a770,27.77777777777778,0,57.965587275314,229721722,339062,50583363,227103
2,5745,1,-87,,2,646f898d942c10e24aa1a771,13.88888888888889,0,92.94156197983924,229721722,339062,50583363,227103
0,2412,2,-80,Viraj,2,646f898d942c10e24aa1a772,2.7777777777777777,0,98.8832419347058,229721722,339062,50583363,227103
2,5805,1,-89,,2,646f898d942c10e24aa1a773,13.88888888888889,0,115.797124739288,229721722,339062,50583363,227103
0,2462,5,-61,TP-LINK_5D62,2,646f898e942c10e24aa1a774,6.944444444444445,0,10.869559679932294,229721722,339062,50583363,227103
2,5180,2,-78,TP-LINK_5D62_5G,2,646f898e942c10e24aa1a775,41.66666666666667,0,36.57381301846701,229721722,339062,50583363,227103
0,2412,2,-79,Appy24,2,646f898e942c10e24aa1a776,2.7777777777777777,0,88.12978214001267,229721722,339062,50583363,227103
2,5745,1,-87,Appy50,2,646f898f942c10e24aa1a777,13.88888888888889,0,92.94156197983924,229721722,339062,50583363,227103
2,5180,2,-84,Aishchat_5G,2,646f898f942c10e24aa1a778,27.77777777777778,0,72.97435083046543,229721722,339062,50583363,227103
0,2422,1,-86,JioFiber 24G,2,646f898f942c10e24aa1a779,1.3888888888888888,0,196.4833984264312,229721722,339062,50583363,227103
2,5805,1,-86,,2,646f8990942c10e24aa1a77a,13.88888888888889,0,81.97808630298307,229721722,339062,50583363,227103
1,2432,3,-75,SKS Cottage,2,646f8990942c10e24aa1a77b,4.166666666666666,0,55.14884602818142,229721722,339062,50583363,227103
0,2432,5,-61,SKS Cottage,2,646f8990942c10e24aa1a77c,6.944444444444445,0,11.003641419405156,229721722,339062,50583363,227103
2,5200,4,-69,SKS Cottage 5G,2,646f8991942c10e24aa1a77d,55.55555555555556,2,12.926967482914755,229721722,339062,50583363,227103
2,5220,5,-60,SKS Cottage 5G,2,646f8991942c10e24aa1a77e,69.44444444444444,2,4.569087730776067,229721722,339062,50583363,227103
0,2452,2,-82,,2,646f8992942c10e24aa1a77f,2.7777777777777777,0,122.45584913789831,229721722,339062,50583363,227103
2,5180,2,-82,,2,646f8992942c10e24aa1a780,27.77777777777778,0,57.965587275314,229721722,339062,50583363,227103
2,5785,1,-90,,2,646f8992942c10e24aa1a781,13.88888888888889,0,130.37569504711675,229721722,339062,50583363,227103
2,5745,1,-87,,2,646f8993942c10e24aa1a782,13.88888888888889,0,92.94156197983924,229721722,339062,50583363,227103
